elementId,quantity
243126,36
4103587,10
300426,127
300526,20
302226,6
302326,29
302426,56
306926,13
307026,15
4109810,8
6284188,1
4142135,4
366626,93
370026,9
370526,3
370626,2
370926,2
371026,26
389426,4
614376,1
395826,1
6037533,1
6317564,1
6265462,2
6331723,4
6258572,59
6422915,15
6258094,37
6258091,2
6133119,1
4249139,4
4211042,3
4539102,4
6097586,4
4539097,35
4539114,72
4539062,114
6212010,1
4539061,34
6614381,3
6271165,5
6275844,1
44294194,1
4211815,4
6197414,1
4565452,2
6514281,8
6514210,72
6514007,391
6513964,162
6507937,60
6514268,252
6514224,23
6514261,262
6509243,1
6245277,88
6514003,213
6513963,12
6514235,6
6514263,51
6245252,36
6514051,66
6514189,90
6278132,4
4173941,8
